Yr-rec,Yr-died,SP,TAG,x,y,E,N,FAM,SPECIES,Status 2020,DBH 2020,PM'20,Flag 2020,OBSERVATIONS 2020,DBH 2014,PM'14,FLAG'14,OBS'14,DBH 2009,PM'09,OBS'09
2009,,11,351,2.5,16.1,102.5,116.1,ANNO,Ruizodendron ovale ,A,40.8,1.3,,,36.6,1.3,,,33.5,1.6,
2009,,11,352,0.1,19.3,100.1,119.3,MYRI,Otoba parvifolia,A,34.2,1.3,,,32.8,1.3,,,30,,
2009,,11,353,1.8,20.7,101.8,120.7,MORA,Clarisia racemosa,A,53.3,1.8,,,47.3,1.8,,,44.2,1.8,
2009,2014,11,354,1,22.2,101,122,CARI,Jacaratia digitata,,,,,,,,MD,,30.3,,
2009,2020,11,355,5,18.7,105,118.7,PLGN,Triplaris americana,D,,,MD,,16.2,1.3,,,16,,
2009,,11,356,9.3,24.4,109.3,124.4,MORA,Poulsenia armata,A,11.2,1.3,,,11.1,1.3,,,11,,
2009,,11,357,13,23.3,113,123.3,EUPH,Sapium marmieri,A,71,1.4,,,63.2,1.4,,,54.7,1.4,
2009,,11,358,11.3,15,111.3,115,MYRI,Virola calophylla ,A,27.5,1.3,,,26.1,1.3,,,25.3,,
2009,,11,359,11.4,14,111.4,114,MYRI,Otoba parvifolia,A,27.5,1.3,,,27.7,1.3,,,27.1,,
2009,,11,360,12,14,112,114,CANN,Celtis schippii,A,34.6,1.7,,,32.8,1.7,,,31.8,1.7,
2009,,11,361,16.2,23.2,116.2,123.2,ICAC,Calatola venezuelana,A,11.7,1.4,,,11.5,1.4,,,10.8,1.4,
2009,,11,362,18.7,22.5,118.7,122.5,EUPH,Sapium marmieri,A,46.3,1.5,,,44.2,1.5,,,42.3,1.5,
2009,,11,363,22.5,15.1,122.5,115.1,MYRI,Otoba parvifolia,A,30.8,1.5,I,,27.5,1.5,UI,,22.3,1.6,
2009,2014,11,364,21,17.2,121,117,CANN,Celtis schippii,,,,,,,,MD,,10.3,,
2009,2014,11,365,22.5,12,123,112,FABA,schizolobium sp,,,,,,,,MQP,,10.6,,
2009,2014,11,366,21,12.5,121,113,CANN,Celtis schippii,,,,,,,,MD,,14.9,,echado
2009,2020,11,367,17.9,9.8,117.9,109.8,LAUR,Nectandra pulverulenta,D,,,MD,,18.3,1.5,I,,17.3,,"low branches, easy to collect"
2009,2020,11,368,21.2,4.5,121.2,104.5,ULMA,Trema micrantha,D,,,MD,,16.5,1.3,,,11.1,,
2009,,11,369,21.3,1,121.3,101,ELAE,"Sloanea ""pubescent""",A,10.6,1.4,,,10.6,1.4,I,,10.3,1.4,
2009,2020,11,370,24.6,5.1,124.6,105.1,SALI,Lunania parviflora,D,,,MD,,11.2,1.3,"EU,RB,Q",,11.3,,Inclinado
